NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
860032,843980,813900,2,86,1,1986/03/01,1986/06/09
860043,843980,813900,3,86,2,1986/03/01,1986/06/09
860052,843010,803080,2,86,1,1986/03/01,1986/06/09
860063,843010,803080,3,86,2,1986/03/01,1986/06/09
860072,832990,811020,2,86,2,1986/03/01,1986/06/09
860143,830840,800630,3,86,1,1986/03/01,1986/06/09
860153,830840,800630,3,86,1,1986/03/01,1986/06/09
860223,843980,804040,3,86,1,1986/03/01,1986/06/09
860233,843980,804040,3,86,1,1986/03/01,1986/06/09
860282,844750,814790,2,86,1,1986/03/01,1986/06/09
860292,844750,814790,2,86,1,1986/03/01,1986/06/09
860302,843980,800970,2,86,1,1986/03/01,1986/06/09
860312,843980,800970,2,86,2,1986/03/01,1986/06/09
860413,831750,803390,3,86,2,1986/03/01,1986/06/09
860423,831750,830880,3,86,2,1986/03/01,1986/06/09
860462,835260,804260,2,86,2,1986/03/01,1986/06/09
860513,832140,822720,3,86,2,1986/03/01,1986/06/09
860523,832140,822720,3,86,2,1986/03/01,1986/06/09
860612,843980,820810,2,86,1,1986/03/01,1986/06/09
860622,843980,820810,2,86,2,1986/03/01,1986/06/09
860642,843790,841620,2,86,2,1986/03/01,1986/06/09
860653,843790,841620,3,86,2,1986/03/01,1986/06/09
860663,832140,830800,3,86,2,1986/03/01,1986/06/09
860693,832990,843240,3,86,1,1986/03/01,1986/06/09
860722,830840,841770,2,86,1,1986/03/01,1986/06/09
860732,830840,841770,2,86,1,1986/03/01,1986/06/09
860763,832140,821750,3,86,1,1986/03/01,1986/06/09
860773,832990,814510,3,86,1,1986/03/01,1986/06/09
860783,832140,821750,3,86,2,1986/03/01,1986/06/09
860793,832990,814510,3,86,1,1986/03/01,1986/06/09
860813,843790,811820,3,86,1,1986/03/01,1986/06/09
860822,843790,811820,2,86,1,1986/03/01,1986/06/09
860853,830840,820830,3,86,1,1986/03/01,1986/06/09
860863,830840,820830,3,86,1,1986/03/01,1986/06/09
860872,830840,803600,2,86,1,1986/03/01,1986/06/09
860882,830840,803600,2,86,2,1986/03/01,1986/06/09
860963,843790,830300,3,86,2,1986/03/01,1986/06/09
860973,830840,804140,3,86,2,1986/03/01,1986/06/09
860982,840650,811830,2,86,1,1986/03/01,1986/06/09
861132,843010,802780,2,86,1,1986/03/01,1986/06/09
861142,843010,802780,2,86,2,1986/03/01,1986/06/09
861153,832990,800620,3,86,2,1986/03/01,1986/06/09
861333,830840,844070,3,86,1,1986/03/01,1986/06/09
861343,843790,821660,3,86,1,1986/03/01,1986/06/09
861352,843790,821660,2,86,2,1986/03/01,1986/06/09
861413,843790,812740,3,86,1,1986/03/01,1986/06/09
861423,843790,812740,3,86,1,1986/03/01,1986/06/09
861432,835260,810120,2,86,1,1986/03/01,1986/06/09
861452,843010,803260,2,86,1,1986/03/01,1986/06/09
861472,840650,800230,2,86,1,1986/03/01,1986/06/09
861482,840650,800230,2,86,1,1986/03/01,1986/06/09
861493,830840,804190,3,86,1,1986/03/01,1986/06/09
861503,843980,842140,3,86,1,1986/03/01,1986/06/09
861513,843790,821690,3,86,2,1986/03/01,1986/06/09
