ID,NOMMER,VAAR,MOER,GR,YR,SEX,BASE
102003,102003,0,0,,,,
840516,840516,0,0,,,,
841725,841725,821455,820715,5,84,2,
843086,843086,0,0,,,,
850476,850476,0,0,,,,
860135,860135,842685,812265,5,86,2,
860170,860170,0,0,,,,
860171,860171,843531,815011,1,86,1,
860181,860181,831301,810631,1,86,1,
860409,860409,0,0,,,,
860419,860419,0,0,,,,
860589,860589,0,0,,,,
860751,860751,842801,804061,1,86,2,
860905,860905,841115,823385,5,86,2,
861011,861011,841881,802241,1,86,2,
861069,861069,0,0,,,,
861261,861261,840651,810641,1,86,1,
861271,861271,840651,810641,1,86,2,
861539,861539,0,0,,,,
861555,861555,844165,830295,5,86,2,
861629,861629,0,0,,,,
861705,861705,843975,803165,5,86,2,
861831,861831,832571,830321,1,86,1,
862515,862515,844165,804225,5,86,2,
862751,862751,842801,801661,1,86,1,
862801,862801,842801,812981,1,86,2,
862865,862865,843655,823205,5,86,2,
863001,863001,831741,820401,1,86,2,
863255,863255,844185,841985,5,86,2,
863671,863671,831741,812561,1,86,1,
863715,863715,843095,820595,5,86,2,
864211,864211,843531,810651,1,86,1,
864261,864261,0,0,,,,
864851,864851,840651,821131,1,86,2,
864905,864905,843655,803165,5,86,2,
864935,864935,841005,820715,5,86,2,
865061,865061,832571,832181,1,86,2,
865111,865111,835261,814781,1,86,2,
865445,865445,840125,844155,5,86,2,
870135,870135,854925,822055,5,87,2,
870311,870311,851231,844821,1,87,1,
870361,870361,842801,820401,1,87,1,
870379,870379,0,0,,,,
870411,870411,841881,854021,1,87,1,
870451,870451,842801,831901,1,87,2,
870469,870469,0,0,,,,
870815,870815,854285,831565,5,87,2,
870922,870922,0,0,,,,
870929,870929,0,0,,,,
870981,870981,842841,815011,1,87,2,
871011,871011,852571,821621,1,87,1,
871351,871351,842841,820861,1,87,1,
871425,871425,850845,850115,5,87,2,
871661,871661,842801,823911,1,87,2,
871695,871695,850835,832345,5,87,2,
871921,871921,842801,834981,1,87,2,
872031,872031,842841,822661,1,87,1,
872101,872101,850691,840481,1,87,2,
872151,872151,850691,844341,1,87,1,
872295,872295,854535,844905,5,87,2,
872441,872441,850691,811911,1,87,2,
872455,872455,852615,820595,5,87,2,
872495,872495,850545,832795,5,87,2,
872845,872845,854535,850895,5,87,2,
872851,872851,850691,834711,1,87,1,
872891,872891,850691,830641,1,87,2,
873135,873135,854285,830365,5,87,2,
873145,873145,854285,832755,5,87,2,
873581,873581,841881,830561,1,87,1,
874045,874045,853995,810065,5,87,2,
880161,880161,863541,861521,1,88,2,
880531,880531,861091,830321,1,88,2,
880775,880775,861285,841495,5,88,2,
880839,880839,0,0,,,,
880889,880889,0,0,,,,
881151,881151,861091,862131,1,88,2,
881341,881341,851231,841221,1,88,2,
881959,881959,0,0,,,,
882015,882015,861985,842695,5,88,1,
882161,882161,863541,852031,1,88,2,
882205,882205,863235,845295,5,88,2,
882605,882605,860895,844905,5,88,2,
882621,882621,864631,823341,1,88,2,
882701,882701,851231,852041,1,88,2,
883165,883165,861295,821955,5,88,2,
883191,883191,864631,831321,1,88,2,
883375,883375,861665,843125,5,88,2,
883511,883511,851231,854181,1,88,2,
883795,883795,861965,831725,5,88,2,
883895,883895,862175,821925,5,88,2,
883955,883955,861055,821995,5,88,2,
884091,884091,863281,840481,1,88,2,
884105,884105,862345,853545,5,88,2,
884301,884301,863541,841941,1,88,2,
884435,884435,862115,832195,5,88,1,
884535,884535,862625,823205,5,88,2,
884545,884545,862625,823205,5,88,2,
884945,884945,860265,843305,5,88,2,
891145,891145,875335,842695,5,89,1,
900395,900395,880285,881175,5,90,2,
901755,901755,881655,840605,5,90,2,
903645,903645,881045,844045,5,90,2,
904291,904291,883811,881051,1,90,2,
910012,910012,0,0,,,,
910022,910022,0,0,,,,
910052,910052,0,0,,,,
910094,910094,0,0,,,,
910122,910122,0,0,,,,
910140,910140,0,0,,,,
910172,910172,0,0,,,,
910202,910202,0,0,,,,
910232,910232,0,0,,,,
910272,910272,0,0,,,,
910292,910292,0,0,,,,
910305,910305,0,0,,,,
910342,910342,0,0,,,,
910414,910414,0,0,,,,
910424,910424,0,0,,,,
910469,910469,0,0,,,,
910554,910554,0,0,,,,
910912,910912,0,0,,,,
910922,910922,0,0,,,,
910961,910961,883811,890721,1,91,2,
910982,910982,0,0,,,,
